,Darija,MSA
2802,"واخا,و لمشروبات, أش نديرو فيهوم?",حسنًا، ماذا عن المشروبات، ماذا تقترح؟
2803,نقدرو نديرو سانڭريا.,يمكننا أن نصنع سانجريا.
2804,أُ إلا كان لجوو مزيان نقدرو نحتافلو ف جاردا.,وإذا كان الطقس جميلاً يمكننا إقامته في الحديقة.
2805,"أيه, هادي فيكرا مازيانا.",نعم، هذه فكرة جيدة!
2806,دابا صافي خاسّنا غير نشوفو دياف لي غايحادرو ونسيفتو لعراضات.,الآن كل ما علينا فعله هو إعداد قائمة الضيوف وإرسال الدعوات.
2807,غادي نبدا فداكشي.,سأبدأ العمل عليه.
2808,عاندي أغلابيا ت الناس ف إمايل أُ هادي غاتكون أسّراع طاريقا.,لدي معظم الأشخاص عبر البريد الإلكتروني، لذا سيكون ذلك أسرع طريقة.
2809,أه,نعم.
2810,غادي ندير إ-مايل.,البريد الإلكتروني سيكون كافيًا.
2811,هادي بدّبط هيا لعوتلا لي بغيت.,هذه بالضبط الإجازة التي أردتها.
2812,"پيسسين, شامش أُ التا حاجة خرا.",بركة سباحة، شمس ولا شيء آخر.
2813,صافي تاحاجا أخرا?,لا شيء آخر؟
2814,حتا شي ريحلا ل مدينا?,حتى لا رحلة إلى المدينة؟
2815,نسيت كتاب زويّن.,نسيت كتابًا جيدًا.
2816,"نقدرو نمشيو نديرو تاساوق سيياحي,نشوفو ل أتار لي ف لمدينا!",يمكننا أن نقوم ببعض التسوق السياحي، أو حتى نذهب لمشاهدة المعالم!
2817,"لمدينا, كانشوفها لعام كامل!",المدينة، أراها بقية العام!
2818,والاكين لمدينا هيا لمدينا.,لكن المدينة هي المدينة.
2819,حنا برّا!,نحن في الخارج!
2820,ماشي بحال بحال.,ليس نفس الشيء.
2821,ماشي نفس لحاجة.,ليس نفس الشيء.
2822,"غايكون بني جديد نشوفوه, تاماتيل, أتار, ماعاريد تاع لفان.",سيكون هناك عمارة جديدة للمشاهدة، تماثيل، نصب تذكارية، معارض فنية.
2823,نتا عاندك معا تاقافا!,أنت تعرف الثقافة!
2824,"أه, والاكين زوين مارا مارا تڭلسّ فشي بلاسّا ترتاح.",نعم، ولكن من الجميل أن تهبط في مكان ما من حين لآخر وتسترخي.
2825,والاكين حنا مرتاحين لعام كامل.,لكننا نسترخي بقية العام.
2826,كادّووز نهار كامل فدار ڭالسّ تاتشمش ف جاردا.,تقضي كل اليوم في المنزل تتشمس في الحديقة.
2827,أنا بسّاح بغيت نخروج شوييا.,أريد حقًا أن أخرج قليلاً.
2828,هاد دراري سغار باقي تيلوحو عليا!,وتلك الأطفال تستمر في رش الماء عليّ!
2829,علاياش تاتهدر?,عن ماذا تتحدث؟
2830,"تقدر تمشي إلا بغيتي, ورجع ليا",يمكنك الذهاب إذا أردت، وتعود من أجلي
2831,كايسحاب ليهوم رشان لما علييا راه كايداحك,يعتقدون أن رش الماء عليّ أمرٌ مضحكٌ جداً.
2832,ماكانقدرش نقرا منين كايكونو صافحات ساردين,لا أستطيع القراءة عندما تكون الصفحات مبللة.
2833,مابغيتش ناعيا,لا أريد أن أتعب
2834,أنا ماغادي لحتا بلاسا,لن أذهب إلى أي مكان!
2835,أش بان ليك إلا حاتينا روايد ديال ناموسييا ديالك أُ أنا ندافعك فڭاع ناواحي ديال لمادينا,ما رأيك لو وضعنا عجلات على كرسي الاستلقاء للتشمس الخاص بك وأقوم بدفعك حول المدينة عليه.
2836,واش هادشي مقبول?,هل سيكون ذلك جيدًا؟
2837,غادي يكون بحال كاروسا,سيكون مثل الريكشا!
2838,أُ كيفاش غادي نوالي نبان,وكيف سأبدو؟
2839,جيب لييا پيسين أخور ف لمادينا,احصل لي على مسبح آخر في المدينة.
2840,قاقدر هير تكّا ف شامش أُ تهادن,يمكنك فقط أن تستلقي تحت الشمس وتسترخي!
2841,أُ مازال نقدرو ندورو ف لمادينا ماجموعين!,وما زلنا سنتمكن من التجول في المدينة معًا!
2842,ماشي عاديل,ليس ذلك عادلاً.
2843,ماشي معقول,ليس ذلك عادلاً.
2844,حنا ديما كانديرو داكشي ليكاتبغي,نحن دائمًا نفعل ما تريد أن تفعل.
2845,غادي نمشيو لمدينا غدا,سنذهب إلى المدينة غدًا.
2846,والاكين غدا عامرو ماكايجي,ولكن الغد لا يأتي أبدًا.
2847,واش كاتواعد?,هل تعد؟
2848,"أه, كانواعدك",نعم، أعدك.
2849,فكّر فشي بارناماج.,فكر في برنامج.
2850,"دابا تقدر تحات شوييا ديال واقي شامش, عافاك",هل يمكنك وضع بعض واقي الشمس الآن، من فضلك؟
2851,أُه نتا ولا أنا?,عليك أم عليّ؟
2852,"أهلان لهوسّين, كيداير ليوم?",مرحبا لحسين، كيف حالك اليوم؟
2853,"أنا شارفا, أُ ڭاع عدامي كايدرّوني",أنا كبير في السن، وجميع عظامي تؤلمني
2854,واش هدارتي معا لفرمليا أُ معا تبيب?,هل تحدثت إلى الممرضات والطبيب؟
2855,مومكين نعطي شي حاجا باش نخافّاف ألام ديالك,ربما يمكن تقديم شيء لتخفيف ألمك؟
2856,كانفادال كاس كبير ديال شراب شوكران ليك,أفضل كأساً كبيراً من النبيذ شكراً.
2857,"أنا مامتأكداش طبيب واش موافق عليها, والاكين تاقدر تسولو",لست متأكداً إذا كان الطبيب موافقاً عليه، ولكن يمكنك أن تسأله.
2858,جيت بلحالوا,جئت بالكعك
2859,"طبيب غاليبان غايڭول 'لا', داكشي علاش غادي نخرج أُ نشري قارعا ديال لما أُ نخزانها",من المحتمل أن يقول الطبيب 'لا'، لذا سأخرج لشراء زجاجة ماء وأخفيها
2860,يقدر هادشي يفارحك ...,ربما هذا سيُسعدك...
2861,لحالوا فيكرا زوينا,الكعكات فكرة جيدة.
2862,نقادرو نتماتعو بيهوم معا كاس ولا جوج ديال أتاي,يمكننا الاستمتاع بها مع فنجان أو اثنين من الشاي.
2863,"إلا بغيتي تشري قارعا ديال شراب أُ تشرابها بتخبيا, شري قارعا زوينا",إذا أردت شراء زجاجة نبيذ وشربها سرًا، اشترِ زجاجة جيدة
2864,جابت ليك حتا كضس ديال جازّ ليكايعجبوك,لقد حصلت أيضًا على أقراص الجاز المفضلة لديك.
2865,باقي عندي لفلوس من عيد ميلادي,لا يزال لديّ مال متبقٍ من عيد ميلادي
2866,أجي دغيا.,تعال فورًا ما استطعت.
2867,"غادي نكونو باسلين بزاف, أُ غادي نكميو جوج ڭوارووات سغار ديالي",سنكون أشقياء حقًا، وسندخن اثنين من سيجاري الصغيرة أيضًا.
2868,ماشي فيكرا خايبا,ليست فكرة سيئة
2869,والاكين كيفاش نقدرو نطفيو السفّارا ديال لعافيا بدوخان,ولكن كيف لم نتمكن من إطفاء إنذار الحريق مع وجود الدخان
2870,"عقل, أخير مرا, رفضات",تذكر، في المرة الأخيرة، كانت قد رفضت
2871,أُ لفرمليات ماكانوش فارحانين حيت كايسحاب ليهوم كانت لعافيا فلموأسّاسا,وكانت الممرضات غير سعيدات لأنهن ظنن أن هناك حريقًا في المنشأة
2872,غادي إخسّك تاحتافد ب نابيد أُ لڭارو كا سيرّ,سيتوجب عليك الاحتفاظ بالنبيذ والسيجار كسر
2873,"أه, والاكين معا دوخان ديال ڭارو, ماغاديش تبان ماخزونا بزاف",نعم، ولكن مع دخان السيجار، فإنه ليس دقيقًا جدًا.
2874,غادي غير يخاسنا نمشيو لجاردا ب جوج ڭوارو أُ جوج كيسان,سنضطر فقط للذهاب إلى الحديقة مع سيجارتين وكأسين
2875,غادي نضبّر علا حالوا تاهيا,سأتناول الكعكة أيضًا
2876,علاش ماتجيبش قارعا حتّا هيا,لماذا لا تحضر زجاجة أيضًا
2877,صحابني بيلا نتا مقسّح فڭاع لبلايس,ظننت أنك تشعر بالألم في كل مكان؟
2878,بغيتي تمشي تشتاح,هل تريد أن تذهب للرقص؟
2879,حتا حاجا مشيا اللبار ماغادي تخلّيها مامساوباش,لا شيء لا يمكن أن تصلحه زيارة إلى نادٍ ليلي
2880,"بلا إهانا, مامتءكّدش بيلا راك معروف بزاف بين لبنات",بدون إساءة، لست متأكدًا من أنك محبوب جدًا لدى النساء الشابات.
2881,"منين كايسكر بنادم, ماغايهتمش ب سناني",عندما يسكر الناس، لن يهتموا بأسناني
2882,بسّاح.,هذا صحيح.
2883,ل إرتيباط ديالك كان فشكل.,كان تعليقك غريباً بعض الشيء.
2884,نتا راه شيبه عما.,أنت شبه أعمى
2885,ماكانش هوجومي والاكين كان معقول,لم يكن مسيئًا بل واقعيًا
2886,والاكين كانتافق معاك...,ولكني أتفق معك...
2887,"حتا أنا,بسنان ديالي إستيناعييين أُندادري لكبار, ماشي زوينا بزف...",أنا أيضًا، مع أسناني المزيفة ونظارتي الضخمة، لست جذابًا كثيرًا...
2888,وصلات.,لقد وصلت.
2889,راها خدات معاها بنتي.,لقد أخذت ابنتي.
2890,هاني مشيت نعس.,أنا ذاهب إلى الفراش.
2891,قلب علا لبار ديالك,اعثر على نادي ليلي خاص بك
2892,كانضن أناني أديتك...,أعتقد أنني آذيتك...
2893,والاكين عقل... ألا كنا سغار أُزونين... حنا دابا كبار,ولكن تذكر... إذا كنا صغارًا وجميلين... نحن الآن كبار في السن
2894,أُ حتا سنان لإستيناعييا,بما في ذلك الأسنان الصناعية
2895,أنا غي عاسابي هاد ليلا,أنا متضايق فقط الليلة
2896,نشوفوك أ خونا,أراك لاحقًا أخي
2897,تسباح علا خير,تصبح على خير
2898,عفاك ڭلاس.,الرجاء الجلوس.
2899,إمكانك تحات لمونتو فلعلاق تما.,يمكنك وضع معطفك على الخطاف هناك.
2900,"إوا, شنو لي جاباك لهنا ليوما?",إذًا، ما الذي جاء بك إلى هنا اليوم؟
2901,"دوكتور, دازو بزف ديال ليالي مالي كانت كانعس",دكتور، لقد مرت عدة ليال منذ أن كنت أنام
2902,كاينا شي حاجا مقلقاني.,هناك شيء أقلق بشأنه.
2903,كالكين ماعرفتش شنو,ولكني لا أستطيع أن أفهم ما
2904,"واخا, مومكين نحاولو ناعرفوه بجوجنا!",حسنًا، يمكننا أن نحاول معًا أن نجد حلاً!
2905,باش نكونو واضحين,لكي أكون واضحًا
2906,واش كاتقسد أناك كاتعاني باش تنعاس أُلا كاتنعس بزاف?,هل تقصد أنك تجد صعوبة في النوم أم أنك تنام كثيرًا؟
2907,أنا ماشي ناعس.,أنا لا أنام.
2908,كانحول نعرف شنو كايدور فراسّي.,أنا أحاول أن أفهم ما يدور في ذهني.
2909,أُ إلا نعست كايكون عاندي أحلام غاريبا.,وإذا نمت، أحلم بأحلام غريبة.
2910,شنو كايترا فهاد ل أحلام ديالك?,ما الذي يحدث في هذه الأحلام التي تراها؟
2911,واش مومكين تفكر فأي إرتيبات موحتمال بحيتاك أليومييا?,هل يمكنك التفكير في أي رابط ممكن بحياتك اليومية؟
2912,"أه, مومكين.",نعم، إنه ممكن.
2913,أُلا مومكين ألا.,أو ربما لا.
2914,مومكين هووا شي حاجا قاديما.,ربما هي شيء قديم.
2915,واش مومكين توصف أخير حولم ديالك?,هل يمكنك وصف أحدث حلم لك؟
2916,أه,نعم
2917,أنا فحاوض ديال ألحوت,أنا في حوض السمك
2918,كولشي مادلم حدايا,كل شيء مظلم حولي
2919,أها... كمّل.,أممم... تابع.
2920,كانتاقل بسوهولا بين لحجار أُل أعشاب ألبحرييا,أتحرك بسهولة بين الصخور والأعشاب البحرية
2921,"لحاود ديال لحوت زوين, مايمكانش لييا نشوف شراجام",الحوض الزجاجي رائع، لا أستطيع رؤية النوافذ
2922,لحوتا كاتڭول سالام,تُحَيِّي الأسماك
2923,شي ناس ماكايعرفونيش,بعض الناس لا يعرفونني
2924,كاتعرفهوم?,هل تعرفهم؟
2925,كاتعرف لحوت تاهووا?,هل تعرف السمك أيضًا؟
2926,فايت ليك كاتعرفهوم?,هل هم مألوفون لك؟
2927,ماكنعرفش سميتهوم.,لا أعرف أسماءهم.
2928,بڭاع ألقيياسات,بجميع الأحجام
2929,بڭاع ل أحجام,بجميع الأحجام
2930,كانأمان بجاد حورييات ألبحر ساغيرا تاهوا,أنا أصدق جد الحورية الصغيرة أيضًا
2931,كاتقسد أناهو حتا هووا كاين تمّا,تقصد أنه هناك أيضًا؟
2932,أش كايدير فلحاوض?,ماذا يفعل في الحوض الزجاجي؟
2933,"أه, هوا هاداك.",نعم، هو كذلك.
2934,راه كايطاياب لبايد علا طاباق.,إنه يطبخ البيض على الصحن.
2935,هادشي موتير ليلإهتيمام?,ذلك مثير للاهتمام؟
2936,هادشي موتير?,ذلك مثير للاهتمام؟
2937,واش كاين دجاج تماك تاهوا?,هل يوجد دجاج هناك أيضًا؟
2938,هادشي مومكين إكون موتير ليلإهتيمام.,قد يكون هذا مثيرًا للاهتمام جدًا.
2939,هادشي مومكين إكون موتير.,قد يكون هذا مثيرًا للاهتمام جدًا.
2940,دجاج?,دجاج؟
2941,بلبايض?,مع البيض؟
2942,أُلا بايض ديال لحوت - ماڭلتيش ليا أشمن نوع كان.,أو بيض السمك - لم تقل أي نوع كانوا.
2943,بايض كبير بزاف.,بيض ضخم.
2944,"سامحليا, سامحليا.",أنا آسف، أنا آسف.
2945,إمكن لبيض من حوتا كبيرا بزاف.,ربما البيض من أسماك ضخمة.
2946,ماكاينلاش.,لا تكن.
2947,ماتقالّقش.,لا تقلق.
2948,ماشي لخاتاء ديالك حيت عنداك أحلام فشكل,ليس ذنبك أن لديك أحلام غريبة
2949,إمكن مومكين ترسم لأحلام ديالك.,ربما يمكنك أن ترسم أحلامك.
2950,إقدار إعاون أنّاك تفهام لماشاعير ليكاينا موراهوم,قد يساعد ذلك في فهم المشاعر التي تكمن وراءها
2951,أُتخرّج شي عامال فانّي زوين ملي تكون تما!,وأنتج قطعة فنية جميلة أثناء قيامك بذلك!
2952,أش هاد الزمر واقع?,ما الذي يحدث بحق الجحيم؟
2953,راه حباس بين ليطاجات.,توقف بين الطوابق.
2954,غادي نبراك علا لبوتون ديال ليطاج تاني مرا خرا.,سأضغط على الزر للطابق الثاني مرة أخرى.
2955,"أه, دير هادشي بزاربا, عندي إجتيماع من دابا 15 دقيقا",نعم، أسرع، لدي اجتماع في خلال خمسة عشر دقيقة.
2956,واش خدّام?,هل يعمل؟
2957,واخا واخا.,حسنًا حسنًا.
2958,راه واراكت عليه والاكين مازال مكانتحاركو.,لقد ضغطت عليه ولكننا ما زلنا لا نتحرك.
2959,واش كاين بوطون ديال تاواريء?,هل يوجد زر طوارئ؟
2960,"شوف, نتا لقدّام!",انظر، أنت في المقدمة!
2961,صاراحاتان ماكاينش تاحد ليتعاوال عليه فهاد لعيمارا?,لا يوجد حقًا أحد آخر يمكننا الاعتماد عليه في هذا المبنى!
2962,غادي إخاسّني نقادام شاكوا لخيدما تيقنيا!,سأضطر إلى التذمر للخدمة الفنية!
2963,هادي فاضيحا!,إنه فضيحة!
2964,هادي شوها!,إنه فضيحة!
2965,"تهادان, لغوات ماغاديش إعاون.",هدأ من روعك، الصراخ لن يفيد.
2966,خاسنا نعرفو أشنو غادي نديرو.,نحتاج إلى معرفة ما يجب عمله.
2967,إمكان كاينا إشارا هنا.,ربما يوجد إشارة هنا.
2968,واش تيليفون ديالك معاك?,هل معك هاتفك؟
2969,واش هازّ معاك تيليفون ديالك?,هل معك هاتفك؟
2970,ماغاديش نتهدّن!,لن أهدأ!
2971,عندي موكالاما معا لبيرو ف ربات ف قلّ من 15 دقيقا.,لدي مكالمة مع مكتب الرباط في أقل من خمسة عشر دقيقة.
2972,مانقدارش نزڭلها.,لا يمكنني تفويته.
2973,صاندوق كايعتاماد عليه.,الصندوق يعتمد عليه.
2974,صالاير ديالك كايعتاماد عليها.,راتبك يعتمد عليه.
2975,طلاب لموساعادا!,نادِ للمساعدة!
2976,عيط علا شي حدّ,اتصل بشخص ما
2977,كاين تما لبوتون لحمار لكبير!,هناك الزر الأحمر الكبير!
2978,بيسمي ألّاه!,بِسْمِ اللهِ!
2979,بسملاه!,بِسْمِ اللهِ!
2980,علاش لخاتاء ديالي?,لماذا هو خطأي؟
2981,علاش لغالاط ديالي?,لماذا هو خطأي؟
2982,"كون خلّستيني كتار, كون ورّكت علا بزاف ديال لبوتونات باش إعاونوك",لو دفعت لي أكثر لضغطت على المزيد من الأزرار طلبًا للمساعدة
2983,أشبان ليك نغنّي ليك أُغنيا باش ترتاح?,ماذا لو غنيت لك أغنية لأهدئك؟
2984,"واخا, راه ورّكت علا لبوتون لحمار لكبير أُ ماوقاع والو.",حسنًا، لقد ضغطت على الزر الأحمر الكبير ولم يحدث شيء.
2985,تاحاجا ماوقعات,لم يحدث شيء
2986,"أودي, تيليفوني مخدّامش فهاد لبواطا تلحبس!",حسنًا، هاتفي لا يعمل في الصندوق اللعين!
2987,نتا خاساك تدبّر علا تيليفون حسن,أنت بحاجة إلى الحصول على هاتف أفضل
2988,"لا, ماغاديش تغنّي!",لا، أنت لن تغني!
2989,ماكانحملش لموغانيين!,أنا أكره المغنين!
2990,راجلي لقديم كان موغني.,كان زوجي السابق مغنيًا.
2991,كان كايغني فڭاع ل أوقات.,كان يغني طوال الوقت.
2992,ماكاندقدروش ڭاع نركّزو فدار.,لم نستطع التركيز في المنزل أبدًا.
2993,أُلا نعاس.,أو النوم.
2994,كان كايغاني حتّا فنعاسو.,حتى أنه كان يغني وهو نائم.
2995,واش كاتخيّلي!,هل تستطيع أن تتخيل!
2996,ماعرافتش علاش كانڭوليك هادشي.,لا أعرف لماذا أخبرك بهذا.
2997,يالاه نخرجو منهنا!,أخرجنا من هنا!
2998,يالاه نتحرّكو من هنا!,أخرجنا من هنا!
2999,واخا واخا.,حسنًا حسنًا.
3000,راه كايتحراك دابا أُهنا ليطاج التاني.,إنه يتحرك الآن وها هو الطابق الثاني.
3001,"غادي توسال ل إجتيماع ديالك فلواقت, والاكين ماشي معايا.",ستصل إلى اجتماعك في الوقت المحدد، ولكن ليس معي.
3002,عييت مناك.,لقد سئمت منك.
3003,غادي نساحاب!,أنا استقلت!
3004,"أهلان صامي, كيفاش راك دايار ليوما?",مرحباً سامي، كيف حالك اليوم؟
3005,"أهلان صامي, أش كاتعاود ليوم?",مرحباً سامي، كيف حالك اليوم؟
3006,كيف ولّا إلتيهاب لمافاسيل ليعندك?,كيف حال التهاب المفاصل لديك؟
3007,"لجاو مزيان بزاف, كانتمنا مايكونش خاياب بزاف!",الطقس جميل جدًا، آمل ألا يكون سيئًا للغاية!
3008,"أه, أهلان, أنا فرحان حيت شفتك, مودّا تويلا دازت!",آه، مرحبًا، أنا سعيد لرؤيتك، لقد طال الزمن!
3009,"لسوء لحاد, روتوبا كادير لقوالب معايا",للأسف، الرطوبة تلعب بي حيلًا
3010,أُ لتيهاب لمافاسيل ليعاندي كرفسني بزاف,والتهاب المفاصل الخاص بي يجعلني أعاني بشدة
3011,إنشالاه غاتمشي قاريبان,نأمل أن تزول قريبًا
3012,"هاداشي زوين, والاكين راك عارف كيفاش كايكون هادشي فلعمر ديالي",هذا لطيف، ولكن أنت تعرف كيف هي الأمور في سني
3013,ماغاديش تقدر تعراف معامن تلاقيت ف الجامع سبت ليداز - ضريسّ!,لن تتخيل من صادفت في المسجد السبت الماضي - دريس!
3014,فكّرني ف لحفلا لي دوّزنا لعام ليفات,ذكّرني بتلك الحفلة التي أقمناها العام الماضي
3015,شحال كان زوين تڭلاس برا فداك لواقت,ما أجمل أن كان الجلوس في الخارج حينها
3016,"أه, مابقيناش دجاجات من بعد",نعم، لم نعد صغارًا كالدجاج
3017,"لالّا إمان, كيفاش دووّز هاد لواقت كاملو?",عزيزتي إيمان، كيف كان حاله طوال هذا الوقت؟
3018,واش خدا لواقت فلخار باش إتساجال ف لا سالّ?,هل قام أخيرًا بأخذ الوقت للتسجيل في النادي الرياضي؟
3019,كايبان بيخير,يبدو أنه يعمل بشكل جيد
3020,والاكين راك عارف داكشي ليوقع ليه معا مراتو لعام لي فات,مع أنك تعلم ما حدث مع زوجته في العام الماضي
3021,هوا شوجاع بزاف,إنه يتصرف بشجاعة كبيرة
3022,ماسماعتش علا لخوتا ديال لماتش?!,لم أسمع عن خطط المباراة؟!
3023,ياعلا نحس!,ما أسوأ ذلك!
3024,كانضن بلي كان غايكون ف ناداوات ديال دراري فاش كان باقي فلميدنا,أعتقد أنه كان يجب أن يكون في الندوات الخاصة بالأطفال بينما هو لا يزال في المدينة
3025,والاكين إمكن خسّك تشتاراك ف هاد ل أنشيطا?,ولكن ربما يجب عليك أيضًا التسجيل في هذه الأنشطة؟
3026,"هاهاها, ماكانحتاجش ناداوات ليتعلّمني!",هاهاها، لا أحتاج إلى ندوات لتعليمي!
3027,"والاكين سمح ليا, غادي إخسّني نخليك دابا",ولكني آسف، سأضطر إلى مغادرتك الآن
3028,أيخاسني نرجاع لدار فلواقت باش نڭادّ لغدا أُلا غادي إوقاع ليا ناوبات أنبقا نسخاف مرا خرا,يجب أن أعود إلى المنزل في الوقت المناسب لتحضير الغداء وإلا سأعاني من نوبات الإغماء مرة أخرى
3029,والاكين كان زوين أناني نشوفك!,ولكن كان من الجميل رؤيتك!
3030,أيخاساك تجي تزورني قريبان,يجب أن تأتي لزيارتي قريبًا
3031,مزيانا أناني نشوفاك حتا أنا!,كان من الجيد رؤيتك أيضًا!
3032,كانتمنّا أناني نقدار نجي أُنشوفاك فلقاريب لعاجيل.,آمل أن أستطيع القدوم ورؤيتك قريباً.
3033,أُ كانتمنّا باش تعافا من لتيهاب لمافاسيل!,وآمل أن تحصل على راحة من التهاب المفاصل!
3034,أه عييت مان تابيعا,آه، أنا سئمت من الطبيعة
3035,لحاجة لي كادّير هيا سدّان النيف أُ عضّان ديال لبخوش,كل ما يفعله هو أن يسبب لي انسداد في الأنف ولدغات حشرات
3036,إلا كنتي كاتبغي الطابيعا صعيب أناكا تهراب مان قرسات ديال باخوش,إذا كنت تحب الطبيعة فمن الصعب تجنب لدغات الحشرات
3037,"والاكين علاش كايتساد نيف, عانداك حاساسيا من شي حاجا: وارد, شجر...?",ولكن لماذا الأنف المسدود، هل أنت مصاب بحساسية من شيء ما: الزهور، الأشجار...؟
3038,كايبان ليا عندي حاساسيا ديال كولشي هاد لييام.,يبدو أنني أعاني من حساسية تجاه معظم الأشياء في هذه الأيام.
3039,والاكين كايبان ليا أنا تابيعا باقا تابعاني فڭاع لبلاياس!,لكن الطبيعة تبدو كأنها تتبعني في كل مكان!
3040,أيخاسنا نديرو ختيبار.,سيتوجب علينا إجراء اختبار.
3041,أيخاسنا نديرو تست.,سيتوجب علينا إجراء اختبار.
3042,إمكان عنداك حاساسيا من شاعار ديال لحاياوانات حتا هوا.,ربما أنت تعاني من حساسية تجاه شعر الحيوانات أيضًا.
3043,والاكين هادشي ماكايڭولش لينا حنا فين كاينين.,لكن هذا لا يخبرنا أين نحن.
3044,واش عنداك شي فيكرا علا فين غادي?,هل لديك أي فكرة إلى أين تذهب؟
3045,ماعنديش حتا فيكرا.,ليس لدي أي فكرة على الإطلاق.
3046,غير وسالنا لشي بلاسا ماكاديرش لحاكا باقي!,فقط خذنا إلى أي مكان لا يسبب الحكة بعد الآن!
3047,"إمكن لينا نحاولو نلقاو شي ضايا, والاكين نتحاطّو غادي ياكلنا الناموس أُحنا حيّين.",يمكننا أن نحاول العثور على بركة، ولكن أراهن أن البعوض سيأكلنا حيّين.
3048,"لا, مكانضنش بلي أيخاسنا نتحرّكو ل الضايا.",لا، أعتقد أنه لا يجب أن نستهدف البركة.
3049,أيخاسنا نخرجو من لغابا بزربا.,يجب علينا الخروج من الغابة بسرعة.
3050,علاش مانغاوتوش?,لماذا لا نصرخ؟
3051,ألا إمكن لينا نراجعو ل أنفوس ديالنا?,أو ربما يمكننا فقط العودة إلى أنفسنا؟
3052,واش عانداك صوت مجهّد?,هل لديك صوت عالٍ؟
3053,أُلا موكابير ديال ساوت اللي إقدار إعاونا?,أو مكبر صوت يمكن أن يساعدنا؟
3054,أُلا باف اللي إقدار إعاونا?,أو مكبر صوت يمكن أن يساعدنا؟
3055,"أه, إمكن ليا نخدّم صاوت ديالي زويين.",نعم، يمكنني استخدام صوتي الجميل.
3056,مافكّرتش ناخود ل باف ديالي.,لم أفكر في أخذ مكبر الصوت الخاص بي.
3057,سماحليا.,آسف.
3058,"واخا هكاك, عاندي بازاف ديال لما.",لدي الكثير من الماء، على أي حال.
3059,واش هاز معاك تيليفون ديالك?,هل معك هاتفك؟
3060,أنجرّبو لخاريتا ديال ڭوڭل?,هل نجرب خرائط جوجل؟
3061,عافاك بلاش.,من فضلك، دعونا لا.
3062,أنا داد أفكار ديال ڭوڭل أُ أي ماعهاد أخور كايستاخدامنا باش إحسال علا بزاف ديال لمعلومات!,أنا معارض من الناحية الأيديولوجية لجوجل وأي مؤسسة أخرى تحاول استخدامنا للحصول على المزيد من البيانات!
3063,إمكان لينا ندورو بلا تاشي هاداف أُنتمنّاو نلقاو تريق باش نرجعو.,يمكننا أن نتجول بلا هدف ونأمل أن نجد طريق العودة.
3064,عندي ميكناسا كاهراباإا كاتخدّم هاد تيقنيا باش تنقّي الدار!,لدي مكنسة كهربائية تستخدم تلك الطريقة بالضبط لتنظيف الشقة!
3065,"لا, راه غير نوكتا.",لا، إنها مزحة.
3066,ماكانش خاسنا نبعّدو علا تريق ڭاع.,كان يجب ألا نترك الطرقات أبدًا.
3067,"زيد عليها, كانضن بلي هادشي هوا لي كايجبد لحاساسيا ديالي.",علاوة على ذلك، أعتقد أن هذا ما يُحفز ردة فعل تحسسية.
3068,أُلا هادو هوما ستا ديال لحلاوي سغيرا بلفوستاق ألي خديتها مان سناكك.,أو هذه هي الستة ماكرون الفستق الصغيرة التي أخذتها من شريط الوجبات الخفيفة.
3069,شفتيني خديتهوم?,هل رأيتني آخذهم؟
3070,كان كايصحابني كنت مخبيا...,ظننت أنني كنت خفيًا...
3071,"لا, راه شفت كولشي.",لا، لقد رأيت الأمر بأكمله.
3072,واش كاتعراف كيفاش توجّه راسّاك غير بماكان شمش?,هل تعرف كيف توجه نفسك بواسطة موقع الشمس؟
3073,لا ماشي أنا.,لست أنا.
3074,مازال نقدر نخراج تيليفوني أُنخدم ب ڭوڭل,قد أظل أخرج هاتفي واستخدم جوجل
3075,والاكين ألا فهمت هادشي غادي إبدا حاساسيا جديدا!,لكن إذا فهمت هذا سيؤدي إلى بدء نوبة حساسية جديدة.
3076,"واخا, واخا.",حسنًا، حسنًا.
3077,إمكان ليك تخدام ب لخاراإت ديال ڭوڭل...,يمكنك استخدام خرائط جوجل...
3078,هادا ماشي واقت زوين!,هذا ليس توقيتاً جيداً!
3079,إخسار السانسور عمّرو كان لواقت لموناسيب!,ليس الوقت مناسبًا أبدًا لعطل المصعد!
3080,لا ماديرش داكشي.,لا تفعل ذلك.
3081,فلواقيع كانفادال ندير لعارد ديالي قدامك.,في الواقع، أفضل أن أقدم عرضي مباشرةً لك.
3082,أشنو بغيتي منّا نديرو?,ماذا تريد منا أن نفعل؟
3083,واخا إكون واقت خاياب,حتى لو كان وقتاً سيئاً
3084,أه.,نعم.
3085,كنت غادي نڭوليك بلي كان عليك تقاعاد دابا نيت.,كنت سأقترح أن تتقاعد فورًا.
3086,عافاك ماتاخودش هادشي ب تاريقا غالات.,من فضلك لا تأخذ هذا بالمعنى الخاطئ.
3087,أنا ماكانمشيش فهاد تريق لغالتا,أنا لا أفهم هذا بشكل خاطئ
3088,والاكين ماكانعرافش كيفاش نخرج من سانسور خاسر,لكن لا أعرف كيف أخرج من مصعد ينزل
3089,نتا كاتسناع أُكاتصمّام لماصاعيد والاكين هادا كايخسر كولّا نهار,أنت تصنع وتصمم المصاعد لكن هذا يتعطل كل يوم
3090,هادشي عار.,إنها فضيحة.
